"Species","Name_FR","Name_EN","Level","Region","Status_evolution","Years_apart","Last_status","Last_evaluation","1990","1994","1996","1998","2000","2002","2003","2004","2005","2006","2007","2008","2010","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Before_last_evaluation","Before_last_status"
"Aetomylaeus bovinus","Mourine vachette","Bull ray","Continental","Europe",NA,NA,"CR",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aetomylaeus bovinus","Mourine vachette","Bull ray","International","World","DD-CR",14,"CR",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,2006,"DD"
"Aetomylaeus bovinus","Mourine vachette","Bull ray","Regional","Mediterranean Sea",NA,NA,"CR",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA
"Alopias superciliosus","Renard à gros yeux","Bigeye thresher","Continental","Europe",NA,NA,"EN",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopias superciliosus","Renard à gros yeux","Bigeye thresher","International","World","VU-VU",11,"VU",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,2007,"VU"
"Alopias superciliosus","Renard à gros yeux","Bigeye thresher","Regional","Mediterranean Sea",NA,NA,"EN",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA
"Alopias superciliosus","Renard à gros yeux","Bigeye thresher","Regional","NE Atlantic",NA,NA,"EN",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA
"Alopias vulpinus","Requin-renard commun","Thresher","Continental","Europe",NA,NA,"EN",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopias vulpinus","Requin-renard commun","Thresher","International","World","VU-VU",11,"VU",2018,NA,NA,NA,NA,"DD","DD",NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,2007,"VU"
"Alopias vulpinus","Requin-renard commun","Thresher","Regional","Baltic Sea","CR-NA",6,"NA",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,2007,"CR"
"Alopias vulpinus","Requin-renard commun","Thresher","National","Croatia",NA,NA,"DD",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopias vulpinus","Requin-renard commun","Thresher","National","France",NA,NA,"DD",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopias vulpinus","Requin-renard commun","Thresher","National","Germany",NA,NA,"3",1998,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopias vulpinus","Requin-renard commun","Thresher","National","Ireland",NA,NA,"NE",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,NA,NA,NA,NA,NA,NA
"Alopias vulpinus","Requin-renard commun","Thresher","National","Italy",NA,NA,"CR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopias vulpinus","Requin-renard commun","Thresher","National","Sweden",NA,NA,"NA",2005,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
