"","stock","stock_category"
"1","agn.27.nea","6"
"2","bsk.27.nea","6"
"3","cyo.27.nea","6"
"4","dgs.27.nea","1"
"5","gag.27.nea","5"
"6","guq.27.nea","6"
"7","por.27.nea","6"
"8","raj.27.1012","3"
"9","raj.27.3a47d","6"
"10","raj.27.67a-ce-h","6"
"11","raj.27.89a","5"
"12","rja.27.nea","6"
"13","rjb.27.3a4","6"
"14","rjb.27.67a-ce-k","6"
"15","rjb.27.89a","6"
"16","rjc.27.3a47d","3"
"17","rjc.27.6",NA
"18","rjc.27.7afg","3"
"19","rjc.27.7e","5"
"20","rjc.27.8","3"
"21","rjc.27.9a","3"
"22","rje.27.7de",NA
"23","rje.27.7fg","3"
"24","rjf.27.67","5"
"25","rjh.27.4a6","5"
"26","rjh.27.4c7d","3"
"27","rjh.27.7afg","5"
"28","rjh.27.7e","5"
"29","rjh.27.9a","3"
"30","rji.27.67","5"
"31","rjm.27.3a47d","3"
"32","rjm.27.67bj","3"
"33","rjm.27.7ae-h","3"
"34","rjm.27.8","3"
"35","rjm.27.9a","3"
"36","rjn.27.3a4","3"
"37","rjn.27.678abd","3"
"38","rjn.27.8c","3"
"39","rjn.27.9a","3"
"40","rjr.27.23a4","3"
"41","rju.27.7bj","6"
"42","rju.27.7de",NA
"43","rju.27.8ab","6"
"44","rju.27.8c","6"
"45","rju.27.9a","6"
"46","sck.27.nea","6"
"47","sdv.27.nea","3"
"48","sho.27.67","3"
"49","sho.27.89a","3"
"50","syc.27.3a47d","3"
"51","syc.27.67a-ce-j","3"
"52","syc.27.8abd","3"
"53","syc.27.8c9a","3"
"54","syt.27.67","3"
"55","thr.27.nea","6"
