Species;Common_name;Region;Last_status;Year
Centrophorus granulosus;Gulper shark;I;Not applicable;2021
Centrophorus granulosus;Gulper shark;II;Not applicable;2021
Centrophorus granulosus;Gulper shark;III;Not applicable;2021
Centrophorus granulosus;Gulper shark;IV;Unknown;2021
Centrophorus granulosus;Gulper shark;V;Unknown;2021
Centrophorus squamosus;Leafscale gulper shark;I;Unknown;2021
Centrophorus squamosus;Leafscale gulper shark;II;Not applicable;2021
Centrophorus squamosus;Leafscale gulper shark;III;Poor;2021
Centrophorus squamosus;Leafscale gulper shark;IV;Poor;2021
Centrophorus squamosus;Leafscale gulper shark;V;Poor;2021
Centroscymnus coelolepis;Portuguese dogfish;I;Poor;2021
Centroscymnus coelolepis;Portuguese dogfish;II;Not applicable;2021
Centroscymnus coelolepis;Portuguese dogfish;III;Poor;2021
Centroscymnus coelolepis;Portuguese dogfish;IV;Poor;2021
Centroscymnus coelolepis;Portuguese dogfish;V;Poor;2021
Cetorhinus maximus;Basking shark;I;Poor;2021
Cetorhinus maximus;Basking shark;II;Poor;2021
Cetorhinus maximus;Basking shark;III;Poor;2021
Cetorhinus maximus;Basking shark;IV;Poor;2021
Cetorhinus maximus;Basking shark;V;Poor;2021
Dipturus batis;Blue skate;I;Poor;2021
Dipturus batis;Blue skate;II;Poor;2021
Dipturus batis;Blue skate;III;Unknown;2021
Dipturus batis;Blue skate;IV;Unknown;2021
Dipturus batis;Blue skate;V;Unknown;2021
Lamna nasus;Porbeagle;I;Unknown;2021
Lamna nasus;Porbeagle;II;Unknown;2021
Lamna nasus;Porbeagle;III;Unknown;2021
Lamna nasus;Porbeagle;IV;Unknown;2021
Lamna nasus;Porbeagle;V;Unknown;2021
Raja clavata;Thornback ray;I;Unknown;2021
Raja clavata;Thornback ray;II;Good;2021
Raja clavata;Thornback ray;III;Good;2021
Raja clavata;Thornback ray;IV;Good;2021
Raja clavata;Thornback ray;V;Stable;2021
Raja montagui;Spotted ray;I;Not applicable;2021
Raja montagui;Spotted ray;II;Good;2021
Raja montagui;Spotted ray;III;Unknown;2021
Raja montagui;Spotted ray;IV;Unknown;2021
Raja montagui;Spotted ray;V;Not applicable;2021
Rostroraja alba;White skate;I;Not applicable;2021
Rostroraja alba;White skate;II*;Poor;2021
Rostroraja alba;White skate;III;Poor;2021
Rostroraja alba;White skate;IV;Poor;2021
Rostroraja alba;White skate;V;Not applicable;2021
Squatina squatina;Angelshark;I;Not applicable;2021
Squatina squatina;Angelshark;II;Poor;2021
Squatina squatina;Angelshark;III;Poor;2021
Squatina squatina;Angelshark;IV;Poor;2021
Squatina squatina;Angelshark;V;Not applicable;2021
