"","id","Groupe","Family","FR_Species","Nom commun","Tendance","Cat_liste rouge France","Crit_liste rouge France","Cat_liste rouge monde","rq","data_Obsmer","Amaelle","Species"
"1",1,"Requins","Squatinidae","Squatina squatina","Ange de mer commun","?","CR","A2bcd","CR",NA,1,1,"Squatina squatina"
"2",2,"Requins","Centrophoridae","Centrophorus granulosus","Requin-chagrin","?","EN","A2bd","VU",NA,1,NA,"Centrophorus granulosus"
"3",3,"Requins","Centrophoridae","Centrophorus squamosus","Squale-chagrin de l'Atlantique","?","EN","A2bd","VU",NA,1,NA,"Centrophorus squamosus"
"4",4,"Requins","Lamnidae","Lamna nasus","Requin-taupe commun","?","EN","A2bd","VU",NA,1,1,"Lamna nasus"
"5",5,"Requins","Squalidae","Squalus acanthias","Aiguillat commun","?","EN","A1bd","VU",NA,1,1,"Squalus acanthias"
"6",6,"Requins","Cetorhinidae","Cetorhinus maximus","Requin-pèlerin","?","VU","A2bd","VU",NA,1,1,"Cetorhinus maximus"
"7",7,"Requins","Carcharhinidae","Prionace glauca","Requin peau bleau","=","NT","pr. A2bd","NT",NA,1,1,"Prionace glauca"
"8",8,"Requins","Etmopteridae","Centroscyllium fabricii","Aiguillat noir","?","NT","pr. A2bd","LC",NA,1,NA,"Centroscyllium fabricii"
"9",9,"Requins","Scyliorhinidae","Galeus melastomus","Chien espagnol","=","LC",NA,"LC",NA,1,NA,"Galeus melastomus"
"10",10,"Requins","Scyliorhinidae","Scyliorhinus canicula","Petite roussette","=","LC",NA,"LC",NA,1,NA,"Scyliorhinus canicula"
"11",11,"Requins","Scyliorhinidae","Scyliorhinus stellaris","Grande roussette","=","LC",NA,"NT",NA,1,NA,"Scyliorhinus stellaris"
"12",12,"Requins","Alopiidae","Alopias vulpinus","Requin-renard commun","?","DD",NA,"VU",NA,1,1,"Alopias vulpinus"
"13",13,"Requins","Carcharhinidae","Carcharhinus brachyurus","Requin cuivré","?","DD",NA,"NT",NA,1,NA,"Carcharhinus brachyurus"
"14",14,"Requins","Carcharhinidae","Carcharhinus brevipinna","Requin-tisserand","?","DD",NA,"NT",NA,1,NA,"Carcharhinus brevipinna"
"15",15,"Requins","Carcharhinidae","Carcharhinus limbatus","Requin bordé","?","DD",NA,"NT",NA,1,NA,"Carcharhinus limbatus"
"16",16,"Requins","Carcharhinidae","Carcharhinus plumbeus","Requin gris","?","DD",NA,"VU",NA,1,NA,"Carcharhinus plumbeus"
"17",17,"Requins","Centrophoridae","Deania calcea","Squale-savate","?","DD",NA,"LC",NA,1,1,"Deania calcea"
"18",18,"Requins","Chlamydoselachidae","Chlamydoselachus anguineus","Requin-lézard","?","DD",NA,"NT",NA,1,NA,"Chlamydoselachus anguineus"
